UNIX_time[sec],CP_ref_x,CP_ref_y,ZMP_des_x,ZMP_des_y,CoM_position_x,CoM_positon_y,CP_lip_x,CP_lip_y
1.57744e+09,6.91582e-310,6.91582e-310,1.86316e-310,1.93637e-310,3.03445e-310,3.06777e-310,8.05367e-310,8.0947e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.00921e-310,2.08166e-310,3.10115e-310,3.13457e-310,8.13552e-310,8.17613e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.15374e-310,2.22545e-310,3.16804e-310,3.20154e-310,8.21652e-310,8.25671e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.29678e-310,2.36774e-310,3.23509e-310,3.26867e-310,8.29669e-310,8.33646e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.43834e-310,2.50856e-310,3.3023e-310,3.33595e-310,8.37602e-310,8.41538e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.57842e-310,2.64792e-310,3.36964e-310,3.40337e-310,8.45453e-310,8.49348e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.71705e-310,2.78583e-310,3.43712e-310,3.4709e-310,8.53223e-310,8.57078e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.85425e-310,2.92231e-310,3.50472e-310,3.53855e-310,8.60912e-310,8.64727e-310,
1.57744e+09,6.91582e-310,6.91582e-310,2.99002e-310,3.05738e-310,3.57241e-310,3.6063e-310,8.68521e-310,8.72296e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.12439e-310,3.19105e-310,3.64021e-310,3.67414e-310,8.76052e-310,8.79788e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.25736e-310,3.32333e-310,3.70808e-310,3.74205e-310,8.83504e-310,8.87201e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.38895e-310,3.45424e-310,3.77603e-310,3.81003e-310,8.90879e-310,8.94538e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.51918e-310,3.58379e-310,3.84404e-310,3.87806e-310,8.98178e-310,9.01799e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.64806e-310,3.71199e-310,3.91209e-310,3.94614e-310,9.05401e-310,9.08984e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.7756e-310,3.83887e-310,3.98019e-310,4.01425e-310,9.12549e-310,9.16095e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.90182e-310,3.96443e-310,4.04831e-310,4.08238e-310,9.19622e-310,9.23132e-310,
